SDG 2 — Zero Hunger 

BSIT 0028 | MCU-poultry feeder and watering system 
BSIT 0065 | Mindoro State College of Agriculture and Technology (MinSCAT) online grading system 
BSIT 0268 | Online egg ordering system of Polido's poultry farm 
BSIT 0382 | Management information system for First Golden Mix Agro Ventures (Bats), Inc. 
BSIT 0392 | Inventory management system for Manuel M. Tee Agricultural Supply 
BSIT 0394 | Management information system for the office of the City Veterinary and Agricultural Services of Batangas 
BSIT 0416 | Record management system of municipal Agriculture Office in Ibaan, Batangas 
BSIT 0420 | Human resource management system for Mastermix agri-products and Feedmills Corporation 
BSIT 0421 | Online manufacturing inventory system for Wincom Feedmill Corporation 
BSIT 0432 | Geodatabase migration and visualization tool for tax mapping of agricultural, timberland, mineral and special properties of the Batangas Provincial Assessor's Office 
BSIT 0457 | Information system for the office of Agricultural Services in Rosario, Batangas 
BSIT 0492 | Information graphics generation and data management system for the cooperative division of the office of the City Veterinarian and Agricultural Services Batangas City 
BSIT 0525 | Smart farming application with smart sensors for live soil moisture and temperature monitoring 
BSIT 0531 | San Pascual farmers organization Agri-farming and production web-based monitoring system 
BSIT 0533 | Temperature and feeds monitoring and alarm system for Queen-Le Franz Poultry Farm 
BSIT 0540 | Fish kill forecasting application for BFAR IV-A 
BSIT 0562 | Web-based agriculture mapping using QGIS for Batangas province 
BSIT 0646 | Android herbal plant identification mobile application for office of the City Veterinarian and Agricultural Services 
BSIT 0748 | Poultry data record with data visualization of AVH poultry farm , Lapu-Lapu , Ibaan , Batangas 
BSIT 0797 | AGRIJUAN: Online trading platform for agricultural sectors in San Juan, Batangas 
BSIT 0810 | Mawar agri equipment trading integrated sales management system 
BSIT 0831 | SRG (Shiera, Rio, And Gio) web-based poultry farm sales and monitoring system 
BSIT 0837 | PAKYAWAN: web-based agricultural products 
BSIT 0846 | IoT based farming system for ATO’s farm in Lemery, Batangas 
BSIT 0860 | e–Agristore: a marketplace app for Nelia’s store 
BSIT 0865 | Wager - design and development of an integrated attendance monitoring and payroll system for palay butil buhay farmers association 
BSIT 0867 | A web application for J’s Aguba farm sales and inventory management system 
BSIT 0879 | Maize life: design and development of a web-based system for corn disease using classification models 
BSIT 0890 | Agrigueños: donation app for vegetables and fruits in Batangas province 
BSIT 0909 | Data-driven farm management: designing a web-based pig farm management system with advanced analytics 
BSIT 0926 | Agri Connect – Digitalizing the services of The City Agriculture Office 
